DTXSID,tox_value_mg_L,tox_S_AD,tox_stat,tox_source,species,tox_reliability,neutral_fraction_jchem,tox_source_origin
DTXSID001006774,4.479,0,qsar,IRFMN,algae,NA,0.02,IRFMN
DTXSID001006774,270.5,0,qsar,ECOSAR_BASELINE,algae,NA,0.02,ECOSAR_BASELINE
DTXSID001006774,0.7013,3,qsar,VAN_LEEUWEN,algae,NA,0.02,VAN_LEEUWEN
DTXSID001006774,3.944,0,qsar,IRFMN,crustacean,NA,0.02,IRFMN
DTXSID001006774,456.6,0,qsar,ECOSAR_BASELINE,crustacean,NA,0.02,ECOSAR_BASELINE
DTXSID001006774,9.034e-4,3,qsar,BOL,crustacean,NA,0.02,BOL
DTXSID001006774,6.959,0,qsar,IRFMN,fish,NA,0.02,IRFMN
DTXSID001006774,849.9,0,qsar,ECOSAR_BASELINE,fish,NA,0.02,ECOSAR_BASELINE
DTXSID001006774,7.514e-4,3,qsar,BOL,fish,NA,0.02,BOL
DTXSID001009885,4.188,3,qsar,IRFMN,algae,NA,0.001,IRFMN
DTXSID001009885,324.5,3,qsar,ECOSAR_BASELINE,algae,NA,0.001,ECOSAR_BASELINE
DTXSID001009885,0.9626,3,qsar,VAN_LEEUWEN,algae,NA,0.001,VAN_LEEUWEN
DTXSID001009885,16.73,3,qsar,IRFMN,crustacean,NA,0.001,IRFMN
DTXSID001009885,589,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.001,ECOSAR_BASELINE
DTXSID001009885,0.001213,3,qsar,BOL,crustacean,NA,0.001,BOL
DTXSID001009885,4.258,3,qsar,IRFMN,fish,NA,0.001,IRFMN
DTXSID001009885,1116,2,qsar,ECOSAR_BASELINE,fish,NA,0.001,ECOSAR_BASELINE
DTXSID001009885,9.66e-4,3,qsar,BOL,fish,NA,0.001,BOL
DTXSID001016375,0.9052,3,qsar,IRFMN,algae,NA,0.001,IRFMN
DTXSID001016375,1.981,3,qsar,ECOSAR_BASELINE,algae,NA,0.001,ECOSAR_BASELINE
DTXSID001016375,5.243e-4,3,qsar,VAN_LEEUWEN,algae,NA,0.001,VAN_LEEUWEN
DTXSID001016375,0.03886,3,qsar,IRFMN,crustacean,NA,0.001,IRFMN
DTXSID001016375,0.9781,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.001,ECOSAR_BASELINE
DTXSID001016375,9.785e-7,3,qsar,BOL,crustacean,NA,0.001,BOL
DTXSID001016375,1.48,3,qsar,IRFMN,fish,NA,0.001,IRFMN
DTXSID001016375,1.352,3,qsar,ECOSAR_BASELINE,fish,NA,0.001,ECOSAR_BASELINE
DTXSID001016375,1.708e-6,3,qsar,BOL,fish,NA,0.001,BOL
DTXSID001017816,1.108,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID001017816,1.255,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID001017816,2.704e-4,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID001017816,0.6949,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID001017816,0.5546,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
